episode,title,question,option_a,option_b,option_c,option_d,correct,
s1e1,פרק 1: דמות מוזרה,על איזה נושא רצתה סתיו לדבר בתחילת ההסכת?,פוליטיקה והיסטוריה,איך מבשלים מרק תירס,"כתמים (שוקולד, נשיקה, ציור על הקיר)",סוגי דולפינים בתאילנד,אפשרות ג',
s1e1,פרק 1: דמות מוזרה,היכן מצאה סתיו את נדה בפעם הראשונה?,בתוך המקלחת שלה,בתוך המקרר במטבח,בגינה ליד עצי הברוש,ישנה מתחת לשולחן בסלון,אפשרות א',
s1e1,פרק 1: דמות מוזרה,לאיזה שם שינתה סבתא של סתיו את שמה בתאילנד?,שרה,נדה,אמליה,שקטי,אפשרות ד',
s1e1,פרק 1: דמות מוזרה,"מהו ה""כישופון"" לפי דבריה של נדה?",ספר מתכונים למרקים,מכשיר רב עוצמה שהיא פיתחה,סוג של ירק ישן מהשוק,טלפון רגיל שקונים בחנות,אפשרות ב',
s1e1,פרק 1: דמות מוזרה,מה נתנה סבתא של סתיו לנדה בתמורה לכישופון?,את הבית שלה וכל מה שבתוכו,קערה של מרק תירס חם,מזרקה של שוקולד לכיור,חלוק רחצה ומגבת,אפשרות א',
s1e1,פרק 1: דמות מוזרה,מה מיוחד בסלון של הנריק מדנמרק?,הוא ממוקם מתחת לאדמה,אין בו חשמל בכלל,הקירות שלו עשויים מזכוכית,הוא עשוי מבד של אוהל,אפשרות ג',
s1e1,פרק 1: דמות מוזרה,איך ישנים בבית של קזויו ביפן?,בתוך חממה עם עץ בננות,על מזרון פוטון שפורסים על הרצפה,על מיטה גבוהה עם רגליים,בתוך אוהל עגול וגדול,אפשרות ב',
s1e1,פרק 1: דמות מוזרה,"מהו ""יורט"" לפי התיאור של אמליה מכליל?",מכונה שמייצרת חשמל מהשמש,סוג של ברז שוקולד במטבח,מפעל לייצור צעצועים,בית גדול ועגול שדומה לאוהל,אפשרות ד',
s1e1,פרק 1: דמות מוזרה,מה צריך לעשות כדי להטעין את הסוללה של הכישופון?,לשיר שיר מהלב,לחבר אותו לשקע חשמל רגיל,למלא אותו במרחב אקולוגי,להשקות אותו בהרבה מים,אפשרות א',
s1e1,פרק 1: דמות מוזרה,איפה החליטה נדה לישון בסוף הפרק?,בתוך היורט של אמליה,מתחת לשולחן בסלון,על מזרון פוטון יפני,בתאילנד עם הדולפינים,אפשרות ב',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,באיזו שעה כיוונה נדה את הכישופון שיצלצל כדי להקליט?,בשש בבוקר,בחצות הלילה,בשלוש לפנות בוקר,בשמונה בערב,אפשרות ב',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,"מהו ""מלטונין"" לפי ההסבר של השכן המסביר?",סוג של פנס לילה,הורמון השינה בגוף,מאכל מתוק שאוכלים בלילה,קול של עטלף,אפשרות ב',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,מה מיוחד בעטלפים לפי הפרק?,הם הציפורים היחידות ששרות,הם זוחלים בחושך,הם היונקים היחידים שעפים,הם רואים צבעים בחושך,אפשרות ג',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,איך העטלף יודע מה המרחק שלו מהקירות בחושך?,לפי חוש הריח,בעזרת משקפי לילה,הוא פשוט מנחש,בעזרת גלי קול שחוזרים אליו (הד),אפשרות ד',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,למה מיקה האופה צריכה לקום בשלוש לפנות בוקר?,כי היא אוהבת את החושך,כדי שהמאפים יהיו טריים בשבע בבוקר,כי התנור עובד רק בלילה,כדי שלא יהיו תורים במאפייה,אפשרות ב',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,"מה מייצרים בבית הדפוס של עיתון ""הארץ"" בלילה?",גלופות אלומיניום לעיתון,נייר טואלט,ספרים לילדים,כריכים לעובדים,אפשרות א',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,למה יש חושך בצד אחד של כדור הארץ ויום בצד השני?,כי מישהו מכבה את האור,בגלל שהשמש זזה,בגלל שכדור הארץ מסתובב,כי הכוכבים מסתירים את השמש,אפשרות ג',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,איזה צבע שמיים בחרה נדה בעזרת הכישופון כדי להחליף את השחור?,כחול רגיל,ורוד מסטיק בזוקה,אפור כהה,לבן שלג,אפשרות ב',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,איך לוויתנים ישנים לפי ההסבר של נדה?,הם לא ישנים בכלל,רק צד אחד של המוח ישן בכל פעם,הם ישנים על קרקעית הים,הם ישנים חודש שלם ברצף,אפשרות ב',
s1e2,פרק 2: מה באמת קורה בעולם באמצע הלילה,מה שומעים בחוץ כשאין רעש של מכוניות ואורות רחוב?,את הכוכבים שרים,את הרוח מדברת,את המלטונין צועק,את השמש זורחת,אפשרות א',
s1e3,פרק 3: נדה בונה טלפורטר ומה קורה בבטן האדמה,"מהו ""טלפורטר"" לפי ההסבר של נדה?",סוג של טלפון חכם,מכשיר שמאפשר להתעתק ממקום למקום,אופניים מהעתיד,סוג של מעבורת,אפשרות ב',
s1e3,פרק 3: נדה בונה טלפורטר ומה קורה בבטן האדמה,מה מהבאים היה ברשימת המצרכים לטלפורטר?,ציפורן של חתול,שקית של במבה,כפית של דבש,זנב של לטאה,אפשרות א',
s1e3,פרק 3: נדה בונה טלפורטר ומה קורה בבטן האדמה,איך מגיע חוזה מקולומביה לבית הספר?,באומגה מעל תהום,בסוס ועגלה,באופנוע שלג,במעבורת,אפשרות א',
s1e3,פרק 3: נדה בונה טלפורטר ומה קורה בבטן האדמה,מה מיוחד בשלשולים (תולעים) לפי דוקטור שולי?,הם יכולים לעוף,הם גם זכר וגם נקבה בו זמנית,הם חיים רק במים,הם אוכלים רק זהב,אפשרות ב',
s1e3,פרק 3: נדה בונה טלפורטר ומה קורה בבטן האדמה,מה נמצא בעומק של כמה עשרות מטרים מתחת לאדמה בגוש דן?,ליבת כדור הארץ,יהלומים וזהב,המנהרות של הרכבת הקלה,פולינזיה הצרפתית,אפשרות ג',
s1e3,פרק 3: נדה בונה טלפורטר ומה קורה בבטן האדמה,מהו המרחק עד לליבת כדור הארץ?,100 קילומטר,"6,371 קילומטר",10 קילומטר,מיליון קילומטר,אפשרות ב',
s1e3,פרק 3: נדה בונה טלפורטר ומה קורה בבטן האדמה,מה קורה בצד השני של כדור הארץ בדיוק מתחת לישראל?,אוקיינוס ליד פולינזיה הצרפתית,העיר ניו יורק,מדבר סהרה,סין,אפשרות א',
s1e3,פרק 3: נדה בונה טלפורטר ומה קורה בבטן האדמה,"איזה צבע יש לרמזור ה""ירוק"" בניו יורק?",צהוב,כחול,לבן (איש לבן קטן),ורוד,אפשרות ג',
s1e3,פרק 3: נדה בונה טלפורטר ומה קורה בבטן האדמה,מה נדה עשתה לרמזורים ולתמרורים בעיר?,הפכה אותם לצורת לב ורוד,צבעה אותם בשחור,העלימה אותם לגמרי,הפכה אותם לממתקים,אפשרות א',
s1e3,פרק 3: נדה בונה טלפורטר ומה קורה בבטן האדמה,איך מטעינים את הכישופון לפי ההוראות של נדה?,בעזרת מטען USB,שרים לו שירים מהלב,שמים אותו בשמש,מחברים אותו ללימון,אפשרות ב',
s1e4,פרק 4: פגישה עם טיגריס ועובש מדבר,לאיזה טווח קצר עובד הטלפורטר של נדה בפרק הזה?,מהסלון למרפסת,מהשירותים למטבח,מהבית למכולת,מהמיטה לארון,אפשרות ב',
s1e4,פרק 4: פגישה עם טיגריס ועובש מדבר,איזה סוג אוכל נדה אומרת שהיא שונאת?,אוכל שמתחיל באות ח',אוכל בצבע ירוק,אוכל מלוח מאוד,אוכל של סבתא,אפשרות א',
s1e4,פרק 4: פגישה עם טיגריס ועובש מדבר,"מהו ה""עובש"" לפי ההסבר בפרק?",סוג של חיידק,סוג של פטרייה,סוג של צמח זעיר,לכלוך פשוט,אפשרות ב',
s1e4,פרק 4: פגישה עם טיגריס ועובש מדבר,איזו תרופה חשובה מכינים מפטריות/עובש?,אקמול,ויטמינים,אנטיביוטיקה,חיסון לשפעת,אפשרות ג',
s1e4,פרק 4: פגישה עם טיגריס ועובש מדבר,למה שומרים אוכל במקרר בטמפרטורה נמוכה מ-4 מעלות?,כדי שיהיה טעים יותר,כדי שהעובש לא יוכל לגדול,כדי שהאוכל לא יתבשל,כי זה חוסך חשמל,אפשרות ב',
s1e4,פרק 4: פגישה עם טיגריס ועובש מדבר,למה נדה הייתה עצבנית ותוקפנית לפי סתיו והטיגריס?,כי היא הייתה רעובה,כי היא הפסידה במשחק,כי הכישופון נשבר,כי ירד גשם,אפשרות א',
s1e4,פרק 4: פגישה עם טיגריס ועובש מדבר,איזה חומר מופרש במוח כשגרם לנו לרצות עוד סוכר?,מלטונין,דופמין,אדרנלין,אינסולין,אפשרות ב',
s1e4,פרק 4: פגישה עם טיגריס ועובש מדבר,מה קרה כשיש דייסה רבה מדי בסיר של נדה?,היא הפכה לשוקולד,היא נשרפה,היא הציפה את הבית והגינה,היא נעלמה בבת אחת,אפשרות ג',
s1e4,פרק 4: פגישה עם טיגריס ועובש מדבר,מה הטיגריס אמר שקורה למוח שלו כשהוא רעב?,הוא נהיה עייף,הוא נהיה חד ותוקפני יותר לצייד,הוא שוכח הכל,הוא נהיה נחמד יותר,אפשרות ב',
s1e4,פרק 4: פגישה עם טיגריס ועובש מדבר,מה עשתה נדה בסוף הפרק כדי לאכול ארוחה חגיגית?,הלכה למסעדה,הזמינה פיצה,כישפה שולחן מלא מאכלים,בישלה חביתה גדולה,אפשרות ג',
S1e5,למה צריך לעבוד?,"מה פירוש המילה ""דדליין"" (Deadline) לפי סתיו?",סוג של עבודה קשה,חופשה ארוכה,הזמן האחרון שבו העבודה חייבת להיות מוכנה,כסף שמקבלים בסוף החודש,אפשרות ג',
S1e5,למה צריך לעבוד?,למה נדה לא יכולה פשוט להדפיס כסף בבית?,כי המדפסת מקולקלת,כי זה לא חוקי והכסף יאבד את ערכו,כי אין לה נייר מתאים,כי היא לא יודעת איך נראה כסף,אפשרות ב',
S1e5,למה צריך לעבוד?,"מה הייתה התרופה שנתנה ""דוקטור נדה"" לאישה החולה?",לבשל ביצה קשה 11 דקות,לשתות המון מים,לישון שבוע שלם,לאכול רק בייגלה,אפשרות א',
S1e5,למה צריך לעבוד?,איזה נושא ניסתה נדה ללמד את הילדים בכיתה?,חשבון,אנגלית,היסטוריה,חוויות,אפשרות ד',
S1e5,למה צריך לעבוד?,למה נדה פוטרה מעבודתה כמגישת חדשות?,כי היא איחרה,כי היא המציאה חדשות שלא קרו (שקרים),כי היא לבשה חליפה מצחיקה,כי היא לא ידעה לקרוא,אפשרות ב',
S1e5,למה צריך לעבוד?,"מה קרה במפעל הבייגלה כשנדה ניסתה ""לשדרג"" אותם?",הבייגלה הפך ללהיט,המפעל נסגר,המכונות נתקעו והכל נהיה דביק ממרשמלו,סתיו אכלה את הכל,אפשרות ג',
S1e5,למה צריך לעבוד?,באיזה גיל אנשים בדרך כלל יוצאים לפנסיה (לפי הפרק)?,20-25,40-45,50-55,65-67,אפשרות ד',
S1e5,למה צריך לעבוד?,מה הייתה עבודתה של סבתא במשך 47 שנים?,נגנית מצילתיים בתזמורת,מורה בבית ספר,רופאה בקופת חולים,מגישת חדשות,אפשרות א',
S1e5,למה צריך לעבוד?,איזו עבודה חדשה מצאה סבתא בתאילנד?,צלילה עם דולפינים,ניקוי חדקונים של פילים,מוכרת בייגלה,רכיבה על אופניים,אפשרות ב',
S1e5,למה צריך לעבוד?,"מה נדה בנתה בחדר עבור ה""חופשה"" של סתיו?",בריכת שחייה,אולפן טלוויזיה,מחנה מסמיכות ומקלות,משרד חדש,אפשרות ג',
S1E6,איך מתבגרים?,מה מסמלים הנרות על עוגת יום ההולדת?,את כמות המתנות,את מספר השנים שעברו מאז שנולדנו,את מספר האורחים,את הטעם של העוגה,אפשרות ב',
S1E6,איך מתבגרים?,מהי הסיבה לצמיחת שיער אפור לפי ההסבר בפרק?,התמעטות הצבע (פיגמנט) בשיער עם הגיל,אכילת יותר מדי ממתקים,חוסר שינה,שימוש בכישופון,אפשרות א',
S1E6,איך מתבגרים?,מה מרגישים אנשים מבוגרים לגבי הגיל שלהם בפנים?,שהם מרגישים זקנים מאוד,שהם שכחו איך להיות ילדים,שהם רוצים לחזור לגן,שהם מרגישים צעירים בדיוק כמו פעם,אפשרות ד',
S1E6,איך מתבגרים?,לאיזה בעל חיים הופך הראשן כשהוא מתבגר?,פרפר,דג,צפרדע,לטאה,אפשרות ג',
S1E6,איך מתבגרים?,מהו השינוי הגופני שקורה לילדים סביב גיל 6?,גדלות להם כנפיים,שיני החלב נופלות וצומחות שיניים קבועות,הם מפסיקים לגבוה,צבע העיניים משתנה,אפשרות ב',
S1E6,איך מתבגרים?,מהי אחת האחריות של אנשים מבוגרים לפי סתיו?,לדאוג לפרנסה ולשלם חשבונות,לשחק בצעצועים כל היום,לישון בצהריים,לא ללכת לעבודה,אפשרות א',
S1E6,איך מתבגרים?,"מה נדה ניסתה לעשות עם הכישופון כדי ""להתבגר""?",לקנות בגדים חדשים,ללמוד באוניברסיטה,לצבוע את השיער,להריץ את הזמן קדימה ולחזור אחורה,אפשרות ד',
S1E6,איך מתבגרים?,מה קורה לזחל כשהוא מתבגר בטבע?,הוא הופך לנחש,הוא הופך לגולם ואז לפרפר,הוא נשאר זחל לנצח,הוא הופך לחיפושית,אפשרות ב',
S1E6,איך מתבגרים?,מהו היתרון בלהיות מבוגר לפי דברי הילדים?,אין יתרונות בכלל,אפשר לישון מתי שרוצים,אפשר להחליט החלטות לבד ולעשות דברים שילדים לא יכולים,לא צריך לאכול ירקות,אפשרות ג',
S1E6,איך מתבגרים?,"מהי ""חוכמת חיים"" שצוברים כשמתבגרים?",ידע וניסיון שמגיעים מהחיים עצמם,היכולת לקרוא מהר מאוד,היכולת לרוץ מהר,היכולת לזכור הכל,אפשרות א',
S1E7,מה זה מטאפוקו? (פרק הניקיון),מה ניסתה סתיו לעשות בתחילת הפרק שעיצבן את נדה?,לבשל מרק,לשיר בקול רם,לשחק בכדור,לנקות ולסדר את הבית,אפשרות ד',
S1E7,מה זה מטאפוקו? (פרק הניקיון),"מהי ""קרדית אבק הבית"" לפי ההסבר בפרק?",סוג של מטאטא,שם של חומר ניקוי,יצור זעיר שחי בתוך האבק,צעצוע ישן,אפשרות ג',
S1E7,מה זה מטאפוקו? (פרק הניקיון),מה עוזר לאנשים לנקות את הרצפה באופן אוטומטי היום?,הכישופון,רובוט שואב אבק,דלי ומגב,השכנים,אפשרות ב',
S1E7,מה זה מטאפוקו? (פרק הניקיון),איך ניקו בתים בזמנים קדומים (לפני חומרי הניקוי)?,"בעזרת חול, מים ואפר",בעזרת הכישופון,בעזרת בשמים יקרים,הם לא ניקו בכלל,אפשרות א',
S1E7,מה זה מטאפוקו? (פרק הניקיון),"מהם ""חיידקים"" ו""בקטריות"" שנמצאים בלכלוך?",חיות קטנות שאפשר לראות,סוג של אבק צבעוני,לכלוך פשוט מהרחוב,יצורים קטנים מאוד שיכולים לגרום למחלות,אפשרות ד',
S1E7,מה זה מטאפוקו? (פרק הניקיון),"מה נדה עשתה עם הכישופון כדי ""לנקות""?",השתמשה בו כמטאטא,"הפעילה אפקט ש""מוחק"" דברים מהעולם",הזמינה עוזרת בית,מילאה את הבית במים,אפשרות ב',
S1E7,מה זה מטאפוקו? (פרק הניקיון),מהו המיון שסתיו הציעה לעשות לצעצועים הישנים?,לזרוק הכל לפח,להחליט מה לשמור ומה לתרום לילדים אחרים,להחביא הכל בארון של סבתא,לצבוע הכל מחדש,אפשרות ב',
S1E7,מה זה מטאפוקו? (פרק הניקיון),מהי ההרגשה אחרי שמסיימים לנקות את החדר?,"תחושת נעימות, סדר ושקט בראש",עצב רב על הלכלוך שנעלם,רצון ללכלך שוב מיד,עייפות מהכישופון,אפשרות א',
S1E7,מה זה מטאפוקו? (פרק הניקיון),למה חשוב לשמור על היגיינה (ניקיון אישי)?,כדי שהבגדים יהיו יפים,כדי שסתיו לא תכעס,כדי להריח כמו פרח,כדי לשמור על הבריאות ולמנוע הידבקות במחלות,אפשרות ד',
S1E7,מה זה מטאפוקו? (פרק הניקיון),"מה פירוש המילה ""מטאטאקוקו"" לפי נדה?",שם של רובוט ניקוי,מילה שנדה המציאה לניקיון משודרג,סוג של עוגה,שם של חיה בתאילנד,אפשרות ב',
S1E8,מה מסדרים בסידורים (סדר וארגון),"מהם ""סידורים"" לפי ההסבר בפרק?",משחקי כדורגל,"משימות ומטלות שצריך לעשות (בנק, דואר וכו')",סוג של פרחים,שירים להסקט,אפשרות ב',
S1E8,מה מסדרים בסידורים (סדר וארגון),"איך נדה הרגישה לגבי ה""סידורים"" של סתיו?",שהם מרגשים,שהם משעממים ומעייפים,שהם טעימים,שהם ורודים,אפשרות ב',
S1E8,מה מסדרים בסידורים (סדר וארגון),"מה עוזר לנו לא לשכוח את כל ה""סידורים"" שלנו?",הכישו-פון בלבד,כתיבת רשימה (To-do list),שינה ארוכה,אכילת גלידה,אפשרות ב',
S1E8,מה מסדרים בסידורים (סדר וארגון),איך מסדרים חפצים בצורה הגיונית לפי הפרק?,זורקים הכל לסל,ממיינים לפי קבוצות וקטגוריות,מחביאים מתחת למיטה,משאירים על הרצפה,אפשרות ב',
S1E8,מה מסדרים בסידורים (סדר וארגון),"מהי ""יעילות"" לפי מה שנלמד בפרק?",לעשות הכל נורא לאט,לעשות דברים בצורה חכמה שחוסכת זמן,לא לעשות כלום,לעשות רק מה שכיף,אפשרות ב',
S1E8,מה מסדרים בסידורים (סדר וארגון),"מה פירוש המילה ""סדר"" (Seder) בבית?",שכל הצעצועים בסלון,שכל דבר נמצא במקום המיועד לו,שאין בכלל רהיטים,שסבתא חזרה מתאילנד,אפשרות ב',
S1E8,מה מסדרים בסידורים (סדר וארגון),מה הילדים בפרק אמרו על החדר שלהם?,שהוא תמיד ריק,שיש בו בלאגן אבל הם יודעים איפה הכל,שהוא שייך לנדה,שיש בו רק ספרים,אפשרות ב',
S1E8,מה מסדרים בסידורים (סדר וארגון),"מה נדה ניסתה לעשות כדי ""לסדר"" את הבית מהר?",לבקש מהשכנים,לנקות עם מגב,להשתמש בקישופון כדי להעלים את הבלאגן,ללכת לישון,אפשרות ג',
S1E8,מה מסדרים בסידורים (סדר וארגון),מה היתרון בלהיות מסודר לפי סתיו?,אפשר למצוא ממתקים,מוצאים דברים מהר ויש שקט בראש,מקבלים מתנה מסבתא,לא צריך ללכת לבית ספר,אפשרות ב',
S1E8,מה מסדרים בסידורים (סדר וארגון),"איך מרגישים אחרי שמסיימים את כל ה""סידורים""?",עצובים מאוד,סיפוק והקלה שהכל מוכן,רעבים למרק תירס,כועסים על הקישופון,אפשרות ב',
S1E9,למה צריך להיפרד (פרידות),מה הנושא המרכזי של הפרק?,ימי הולדת,פרידות ואמירת שלום,הכנת חביתה,טיול בטבע,אפשרות ב',
S1E9,למה צריך להיפרד (פרידות),איזו עונה עוזבת ומפנה מקום לחורף בפרק?,האביב,הקיץ,הסתיו,עונת הגשמים,אפשרות ב',
S1E9,למה צריך להיפרד (פרידות),מה נשאר אצלנו גם אחרי שמישהו נפרד מאיתנו?,הבגדים שלו,הזיכרונות והחוויות המשותפות,הכישו-פון שלו,התיק שלו,אפשרות ב',
S1E9,למה צריך להיפרד (פרידות),אילו דרכים הוזכרו בפרק כדי להיפרד מאדם?,"נשיקה, חיבוק או נפנוף לשלום",ריצה מהירה,שתיקה מוחלטת,קפיצה בחבל,אפשרות א',
S1E9,למה צריך להיפרד (פרידות),מאיזה חלק בגוף נפרדים ילדים בדרך כלל (וזוכים לביקור של פיית השיניים)?,שן שנופלת,שיער שמסתפר,ציפורניים שגוזרים,אצבעות,אפשרות א',
S1E9,למה צריך להיפרד (פרידות),"מה פירוש המילה ""בז'וס"" שסבתא אומרת בפורטוגזית?",להתראות,נשיקות,בוקר טוב,תודה,אפשרות ב',
S1E9,למה צריך להיפרד (פרידות),מה עוזר להפוך פרידה לפחות עצובה לפי הפרק?,לבכות המון,לדעת שנתראה שוב או שנשמור על קשר,לשכוח את האדם,לזרוק את הקישופון,אפשרות ב',
S1E9,למה צריך להיפרד (פרידות),מתי עוד צריך להיפרד לפי דברי הילדים?,כשעוברים דירה או גומרים את הגן,כשאוכלים שוקולד,כשקונים צעצוע חדש,כשזורחת השמש,אפשרות א',
S1E9,למה צריך להיפרד (פרידות),האם פרידה היא תמיד דבר רע?,"כן, תמיד","לא, היא יכולה להיות התחלה של משהו חדש",רק אם יורד גשם,רק אם סבתא בברזיל,אפשרות ב',
S1E9,למה צריך להיפרד (פרידות),מה סתיו ונדה מבטיחות בסוף הפרק למרות הפרידה?,שהן יפסיקו להקליט,שהן עוד יחזרו וישתמעו,שהן יעברו לגור בברזיל,שהן יקנו מקרר חדש,אפשרות ב',
s2e1,למה כולם משקרים (אמת ושקר),מה נדה עשתה ברצפה בתחילת הפרק?,ציירה ציור,חצבה בבטון וחיפשה משהו,ניקתה את הבית,שיחקה בצעצועים,אפשרות ב',
s2e1,למה כולם משקרים (אמת ושקר),איזו דמות מפורסמת מוזכרת בפרק בהקשר של שקרים?,סופרמן,סינדרלה,פינוקיו,אלאדין,אפשרות ג',
s2e1,למה כולם משקרים (אמת ושקר),מה קורה לפינוקיו כשהוא משקר?,האוזניים שלו גדלות,השיער שלו משנה צבע,הרגליים שלו מתארכות,האף שלו גדל,אפשרות ד',
s2e1,למה כולם משקרים (אמת ושקר),"מהו ""שקר לבן"" לפי ההסבר בפרק?",שקר שקשור לשלג,שקר קטן שנועד לא להעליב או לפגוע,שקר שמספרים רק בחורף,שקר שקשור לצבע לבן,אפשרות ב',
s2e1,למה כולם משקרים (אמת ושקר),איך קוראים למכשיר שבודק אם אדם אומר אמת או שקר?,פוליגרף,טלסקופ,מיקרוסקופ,רדיוגרף,אפשרות א',
s2e1,למה כולם משקרים (אמת ושקר),מה המכשיר לבדיקת אמת מודד בגוף של האדם?,גובה ומשקל,"דופק, נשימה וזיעה",צבע עיניים,אורך שיער,אפשרות ב',
s2e1,למה כולם משקרים (אמת ושקר),למה אנשים משקרים לפעמים לפי דברי הילדים?,כי זה כיף,"מפחד, מבושה או כדי להיות נחמדים",כי הם שכחו את האמת,כי הם רוצים לגדול,אפשרות ב',
s2e1,למה כולם משקרים (אמת ושקר),מה נדה ניסתה לעשות בעזרת הקישופון בפרק זה?,להפוך לשקופה,לגלות מי משקר ומי אומר אמת,לבשל ארוחת ערב,לטוס לברזיל,אפשרות ב',
